epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
76,0.366215,0.391108,0.933275,0.933244,0.934087,0.933275,0.966834,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch76.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch76.png,92.378
77,0.334251,0.402169,0.916625,0.916593,0.917265,0.916625,0.960534,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch77.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch77.png,91.359
78,0.349146,0.425230,0.894500,0.894251,0.898255,0.894500,0.929588,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch78.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch78.png,90.973
79,0.359126,0.381633,0.936450,0.936429,0.937035,0.936450,0.975306,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch79.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch79.png,91.161
80,0.339538,0.385306,0.933925,0.933922,0.934008,0.933925,0.967110,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch80.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch80.png,91.061
81,0.362486,0.391277,0.928975,0.928930,0.930074,0.928975,0.966240,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch81.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch81.png,91.097
82,0.369573,0.379331,0.943825,0.943811,0.944264,0.943825,0.964932,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch82.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch82.png,90.891
83,0.333560,0.360882,0.960650,0.960649,0.960685,0.960650,0.978031,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch83.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch83.png,91.335
84,0.356143,0.364430,0.962475,0.962475,0.962477,0.962475,0.981253,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch84.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch84.png,91.352
85,0.350518,0.377552,0.941075,0.941045,0.941984,0.941075,0.960086,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch85.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch85.png,153.046
86,0.341642,0.357060,0.962900,0.962890,0.963392,0.962900,0.978496,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch86.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch86.png,113.837
87,0.356428,0.361985,0.958650,0.958644,0.958919,0.958650,0.972369,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch87.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch87.png,116.148
88,0.356539,0.361564,0.959375,0.959375,0.959387,0.959375,0.975821,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch88.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch88.png,169.117
89,0.358075,0.371542,0.949350,0.949345,0.949514,0.949350,0.968646,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch89.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch89.png,169.743
90,0.359967,0.364435,0.957325,0.957312,0.957865,0.957325,0.974189,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch90.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch90.png,170.629
